<BALANCE>,Data
9793.0,2016-01-29
9502.0,2016-02-01
9502.0,2016-02-02
9402.0,2016-02-03
9737.0,2016-02-04
9737.0,2016-02-05
9737.0,2016-02-10
9737.0,2016-02-11
9655.0,2016-02-12
9709.0,2016-02-15
9711.0,2016-02-16
9711.0,2016-02-17
9711.0,2016-02-18
9550.0,2016-02-19
9550.0,2016-02-22
9780.0,2016-02-23
9630.0,2016-02-24
9586.0,2016-02-25
9832.0,2016-02-26
9954.0,2016-02-29
10074.0,2016-03-01
9554.0,2016-03-02
9415.0,2016-03-03
8922.0,2016-03-04
9004.0,2016-03-07
8842.0,2016-03-08
9181.0,2016-03-09
9520.0,2016-03-10
9520.0,2016-03-11
9520.0,2016-03-14
9520.0,2016-03-15
9827.0,2016-03-16
9302.0,2016-03-17
9298.0,2016-03-18
8859.0,2016-03-21
8859.0,2016-03-22
8859.0,2016-03-23
8710.0,2016-03-24
8664.0,2016-03-28
8986.0,2016-03-29
9245.0,2016-03-30
9245.0,2016-03-31
9363.0,2016-04-01
9363.0,2016-04-04
9949.0,2016-04-05
9949.0,2016-04-06
9803.0,2016-04-07
9807.0,2016-04-08
10079.0,2016-04-11
10294.0,2016-04-12
10558.0,2016-04-13
10500.0,2016-04-14
10298.0,2016-04-15
10298.0,2016-04-18
10093.0,2016-04-19
9889.0,2016-04-20
9729.0,2016-04-22
9729.0,2016-04-25
9521.0,2016-04-26
9558.0,2016-04-27
9665.0,2016-04-28
9705.0,2016-04-29
9669.0,2016-05-02
9669.0,2016-05-03
9334.0,2016-05-04
9673.0,2016-05-05
9647.0,2016-05-06
9481.0,2016-05-09
9702.0,2016-05-10
10019.0,2016-05-11
10293.0,2016-05-12
10293.0,2016-05-13
10529.0,2016-05-16
10529.0,2016-05-17
10921.0,2016-05-18
10306.0,2016-05-19
10593.0,2016-05-20
10294.0,2016-05-23
10384.0,2016-05-24
10657.0,2016-05-25
10657.0,2016-05-27
10709.0,2016-05-30
10917.0,2016-05-31
10786.0,2016-06-01
10924.0,2016-06-02
10880.0,2016-06-03
11115.0,2016-06-06
10991.0,2016-06-07
10974.0,2016-06-08
10974.0,2016-06-09
10974.0,2016-06-10
10906.0,2016-06-13
11059.0,2016-06-14
11398.0,2016-06-15
11281.0,2016-06-16
11481.0,2016-06-17
11679.0,2016-06-20
11944.0,2016-06-21
12046.0,2016-06-22
11835.0,2016-06-23
11835.0,2016-06-24
11835.0,2016-06-27
11797.0,2016-06-28
11783.0,2016-06-29
11889.0,2016-06-30
11793.0,2016-07-01
11885.0,2016-07-04
11885.0,2016-07-05
12153.0,2016-07-06
12387.0,2016-07-07
12321.0,2016-07-08
12108.0,2016-07-11
12221.0,2016-07-12
12403.0,2016-07-13
12067.0,2016-07-14
12103.0,2016-07-15
12366.0,2016-07-18
12366.0,2016-07-19
12430.0,2016-07-20
12412.0,2016-07-21
12216.0,2016-07-22
12112.0,2016-07-25
12202.0,2016-07-26
12224.0,2016-07-27
12133.0,2016-07-28
12390.0,2016-07-29
12584.0,2016-08-01
12643.0,2016-08-02
12752.0,2016-08-03
12611.0,2016-08-04
12633.0,2016-08-05
12615.0,2016-08-08
12717.0,2016-08-09
13056.0,2016-08-10
13395.0,2016-08-11
13419.0,2016-08-12
12987.0,2016-08-15
13046.0,2016-08-16
13337.0,2016-08-17
13337.0,2016-08-18
13351.0,2016-08-19
13351.0,2016-08-22
13209.0,2016-08-23
13497.0,2016-08-24
13497.0,2016-08-25
13836.0,2016-08-26
14046.0,2016-08-29
14060.0,2016-08-30
14399.0,2016-08-31
14485.0,2016-09-01
14410.0,2016-09-02
14382.0,2016-09-05
14349.0,2016-09-06
14349.0,2016-09-08
14349.0,2016-09-09
14455.0,2016-09-12
14455.0,2016-09-13
13960.0,2016-09-14
13960.0,2016-09-15
13960.0,2016-09-16
14192.0,2016-09-19
14224.0,2016-09-20
13880.0,2016-09-21
13932.0,2016-09-22
13932.0,2016-09-23
13932.0,2016-09-26
14325.0,2016-09-27
14521.0,2016-09-28
14860.0,2016-09-29
14740.0,2016-09-30
14992.0,2016-10-03
