<BALANCE>,Data
7001.0,2016-01-29
6929.0,2016-02-01
6443.0,2016-02-02
6479.0,2016-02-03
6961.0,2016-02-04
6968.0,2016-02-05
6954.0,2016-02-10
6860.0,2016-02-11
6985.0,2016-02-12
6953.0,2016-02-15
6916.0,2016-02-16
6592.0,2016-02-17
6765.0,2016-02-18
6762.0,2016-02-19
6539.0,2016-02-22
6625.0,2016-02-23
6607.0,2016-02-24
6886.0,2016-02-25
6708.0,2016-02-26
6453.0,2016-02-29
6434.0,2016-03-01
6453.0,2016-03-02
6169.0,2016-03-03
6167.0,2016-03-04
6648.0,2016-03-07
7034.0,2016-03-08
7030.0,2016-03-09
7083.0,2016-03-10
7189.0,2016-03-11
7719.0,2016-03-14
7932.0,2016-03-15
8074.0,2016-03-16
8446.0,2016-03-17
8223.0,2016-03-18
8245.0,2016-03-21
8453.0,2016-03-22
8176.0,2016-03-23
8196.0,2016-03-24
8385.0,2016-03-28
8528.0,2016-03-29
8450.0,2016-03-30
8166.0,2016-03-31
8052.0,2016-04-01
7667.0,2016-04-04
7605.0,2016-04-05
7743.0,2016-04-06
7926.0,2016-04-07
7900.0,2016-04-08
7711.0,2016-04-11
7734.0,2016-04-12
7719.0,2016-04-13
7889.0,2016-04-14
7972.0,2016-04-15
8245.0,2016-04-18
8263.0,2016-04-19
8333.0,2016-04-20
8631.0,2016-04-22
8634.0,2016-04-25
8528.0,2016-04-26
8143.0,2016-04-27
8079.0,2016-04-28
8112.0,2016-04-29
8464.0,2016-05-02
8492.0,2016-05-03
8679.0,2016-05-04
8616.0,2016-05-05
8884.0,2016-05-06
8768.0,2016-05-09
8724.0,2016-05-10
8607.0,2016-05-11
8991.0,2016-05-12
8707.0,2016-05-13
8732.0,2016-05-16
8890.0,2016-05-17
8913.0,2016-05-18
8818.0,2016-05-19
8778.0,2016-05-20
8692.0,2016-05-23
8572.0,2016-05-24
8525.0,2016-05-25
8430.0,2016-05-27
8417.0,2016-05-30
8545.0,2016-05-31
8543.0,2016-06-01
8397.0,2016-06-02
8389.0,2016-06-03
8456.0,2016-06-06
8724.0,2016-06-07
8532.0,2016-06-08
8516.0,2016-06-09
8327.0,2016-06-10
8367.0,2016-06-13
8506.0,2016-06-14
8421.0,2016-06-15
8294.0,2016-06-16
8270.0,2016-06-17
8148.0,2016-06-20
8069.0,2016-06-21
8001.0,2016-06-22
7837.0,2016-06-23
8110.0,2016-06-24
8423.0,2016-06-27
8497.0,2016-06-28
8549.0,2016-06-29
8538.0,2016-06-30
8477.0,2016-07-01
8308.0,2016-07-04
8290.0,2016-07-05
8177.0,2016-07-06
8003.0,2016-07-07
7829.0,2016-07-08
7742.0,2016-07-11
7700.0,2016-07-12
