<BALANCE>,Data
8973.0,2016-01-29
9031.0,2016-02-01
9036.0,2016-02-02
9031.0,2016-02-03
9031.0,2016-02-04
9066.0,2016-02-05
9104.0,2016-02-10
9274.0,2016-02-11
9336.0,2016-02-12
9387.0,2016-02-15
9284.0,2016-02-16
9321.0,2016-02-17
9358.0,2016-02-18
9389.0,2016-02-19
9441.0,2016-02-22
9479.0,2016-02-23
9504.0,2016-02-24
9287.0,2016-02-25
9316.0,2016-02-26
9350.0,2016-02-29
9378.0,2016-03-01
9409.0,2016-03-02
9394.0,2016-03-03
9385.0,2016-03-04
9231.0,2016-03-07
9225.0,2016-03-08
9403.0,2016-03-09
9378.0,2016-03-10
9342.0,2016-03-11
9142.0,2016-03-14
9024.0,2016-03-15
9050.0,2016-03-16
8988.0,2016-03-17
9106.0,2016-03-18
9198.0,2016-03-21
9211.0,2016-03-22
9233.0,2016-03-23
9293.0,2016-03-24
9223.0,2016-03-28
9188.0,2016-03-29
9221.0,2016-03-30
9349.0,2016-03-31
9465.0,2016-04-01
9589.0,2016-04-04
9500.0,2016-04-05
9505.0,2016-04-06
9451.0,2016-04-07
9555.0,2016-04-08
9560.0,2016-04-11
9612.0,2016-04-12
9543.0,2016-04-13
9520.0,2016-04-14
9447.0,2016-04-15
9456.0,2016-04-18
9557.0,2016-04-19
9585.0,2016-04-20
9505.0,2016-04-22
9516.0,2016-04-25
9459.0,2016-04-26
9481.0,2016-04-27
9504.0,2016-04-28
9441.0,2016-04-29
9376.0,2016-05-02
9446.0,2016-05-03
9423.0,2016-05-04
9462.0,2016-05-05
9559.0,2016-05-06
9737.0,2016-05-09
9786.0,2016-05-10
9735.0,2016-05-11
9695.0,2016-05-12
9777.0,2016-05-13
9810.0,2016-05-16
9778.0,2016-05-17
9785.0,2016-05-18
9817.0,2016-05-19
9899.0,2016-05-20
9970.0,2016-05-23
10019.0,2016-05-24
10078.0,2016-05-25
10102.0,2016-05-27
10050.0,2016-05-30
10081.0,2016-05-31
10088.0,2016-06-01
10073.0,2016-06-02
10057.0,2016-06-03
10093.0,2016-06-06
10050.0,2016-06-07
10135.0,2016-06-08
10191.0,2016-06-09
10369.0,2016-06-10
10354.0,2016-06-13
10323.0,2016-06-14
10280.0,2016-06-15
10373.0,2016-06-16
10411.0,2016-06-17
10557.0,2016-06-20
10506.0,2016-06-21
10354.0,2016-06-22
10354.0,2016-06-23
10220.0,2016-06-24
10115.0,2016-06-27
10245.0,2016-06-28
10323.0,2016-06-29
10286.0,2016-06-30
10289.0,2016-07-01
10302.0,2016-07-04
10421.0,2016-07-05
10431.0,2016-07-06
10386.0,2016-07-07
10442.0,2016-07-08
10464.0,2016-07-11
10530.0,2016-07-12
10481.0,2016-07-13
10508.0,2016-07-14
10563.0,2016-07-15
10609.0,2016-07-18
10479.0,2016-07-19
10387.0,2016-07-20
10382.0,2016-07-21
10421.0,2016-07-22
10389.0,2016-07-25
10342.0,2016-07-26
10401.0,2016-07-27
10469.0,2016-07-28
10401.0,2016-07-29
10403.0,2016-08-01
10371.0,2016-08-02
10389.0,2016-08-03
10343.0,2016-08-04
10350.0,2016-08-05
10274.0,2016-08-08
10323.0,2016-08-09
10402.0,2016-08-10
10499.0,2016-08-11
10351.0,2016-08-12
10424.0,2016-08-15
10303.0,2016-08-16
10293.0,2016-08-17
10255.0,2016-08-18
10200.0,2016-08-19
10260.0,2016-08-22
10345.0,2016-08-23
10421.0,2016-08-24
10414.0,2016-08-25
10419.0,2016-08-26
10508.0,2016-08-29
10504.0,2016-08-30
10480.0,2016-08-31
10444.0,2016-09-01
10507.0,2016-09-02
10559.0,2016-09-05
10709.0,2016-09-06
10753.0,2016-09-08
10851.0,2016-09-09
10832.0,2016-09-12
10786.0,2016-09-13
10905.0,2016-09-14
11075.0,2016-09-15
11158.0,2016-09-16
11195.0,2016-09-19
11305.0,2016-09-20
11278.0,2016-09-21
11228.0,2016-09-22
11187.0,2016-09-23
11271.0,2016-09-26
11209.0,2016-09-27
11138.0,2016-09-28
11143.0,2016-09-29
11134.0,2016-09-30
11236.0,2016-10-03
11140.0,2016-10-04
11218.0,2016-10-05
11220.0,2016-10-06
11196.0,2016-10-07
11210.0,2016-10-10
11257.0,2016-10-11
11247.0,2016-10-13
11282.0,2016-10-14
11354.0,2016-10-17
11399.0,2016-10-18
11323.0,2016-10-19
11367.0,2016-10-20
11390.0,2016-10-21
11438.0,2016-10-24
11421.0,2016-10-25
11356.0,2016-10-26
11348.0,2016-10-27
11425.0,2016-10-28
11483.0,2016-10-31
11657.0,2016-11-01
11654.0,2016-11-03
11685.0,2016-11-04
11813.0,2016-11-07
11750.0,2016-11-08
11608.0,2016-11-09
11750.0,2016-11-10
11768.0,2016-11-11
11762.0,2016-11-14
11738.0,2016-11-16
11663.0,2016-11-17
11656.0,2016-11-18
11699.0,2016-11-21
11794.0,2016-11-22
11683.0,2016-11-23
11743.0,2016-11-24
11720.0,2016-11-25
11755.0,2016-11-28
11861.0,2016-11-29
11832.0,2016-11-30
11804.0,2016-12-01
11980.0,2016-12-02
12055.0,2016-12-05
12027.0,2016-12-06
11936.0,2016-12-07
12034.0,2016-12-08
11978.0,2016-12-09
11992.0,2016-12-12
11911.0,2016-12-13
11834.0,2016-12-14
11938.0,2016-12-15
12003.0,2016-12-16
12055.0,2016-12-19
12046.0,2016-12-20
11985.0,2016-12-21
11989.0,2016-12-22
12066.0,2016-12-23
12051.0,2016-12-26
12028.0,2016-12-27
12021.0,2016-12-28
11959.0,2016-12-29
11874.0,2017-01-02
11857.0,2017-01-03
11656.0,2017-01-04
11653.0,2017-01-05
11658.0,2017-01-06
11660.0,2017-01-09
11720.0,2017-01-10
11751.0,2017-01-11
11777.0,2017-01-12
11821.0,2017-01-13
11871.0,2017-01-16
11874.0,2017-01-17
11895.0,2017-01-18
11804.0,2017-01-19
11856.0,2017-01-20
11817.0,2017-01-23
11668.0,2017-01-24
11650.0,2017-01-26
11714.0,2017-01-27
11775.0,2017-01-30
11786.0,2017-01-31
11838.0,2017-02-01
11796.0,2017-02-02
11880.0,2017-02-03
11927.0,2017-02-06
11955.0,2017-02-07
11842.0,2017-02-08
11743.0,2017-02-09
11851.0,2017-02-10
11842.0,2017-02-13
11809.0,2017-02-14
11804.0,2017-02-15
11765.0,2017-02-16
11799.0,2017-02-17
11833.0,2017-02-20
11872.0,2017-02-21
11876.0,2017-02-22
11916.0,2017-02-23
11871.0,2017-02-24
11831.0,2017-03-01
11831.0,2017-03-02
11761.0,2017-03-03
11712.0,2017-03-06
11678.0,2017-03-07
11766.0,2017-03-08
11655.0,2017-03-09
11656.0,2017-03-10
11651.0,2017-03-13
11677.0,2017-03-14
11579.0,2017-03-15
11635.0,2017-03-16
11717.0,2017-03-17
11813.0,2017-03-20
11948.0,2017-03-21
11770.0,2017-03-22
11666.0,2017-03-23
11696.0,2017-03-24
11894.0,2017-03-27
11836.0,2017-03-28
11816.0,2017-03-29
11786.0,2017-03-30
11931.0,2017-03-31
11888.0,2017-04-03
11937.0,2017-04-04
11976.0,2017-04-05
11932.0,2017-04-06
11995.0,2017-04-07
11976.0,2017-04-10
11893.0,2017-04-11
11892.0,2017-04-12
11904.0,2017-04-13
11961.0,2017-04-17
12000.0,2017-04-18
12079.0,2017-04-19
12021.0,2017-04-20
12075.0,2017-04-24
12031.0,2017-04-25
12051.0,2017-04-26
12044.0,2017-04-27
12095.0,2017-04-28
12149.0,2017-05-02
12106.0,2017-05-03
12228.0,2017-05-04
12270.0,2017-05-05
12242.0,2017-05-08
12248.0,2017-05-09
12292.0,2017-05-10
12307.0,2017-05-11
12272.0,2017-05-12
12261.0,2017-05-15
12313.0,2017-05-16
12296.0,2017-05-17
11998.0,2017-05-18
12012.0,2017-05-19
12013.0,2017-05-22
11961.0,2017-05-23
11966.0,2017-05-24
11998.0,2017-05-25
12192.0,2017-05-26
12231.0,2017-05-29
12336.0,2017-05-30
12484.0,2017-05-31
12478.0,2017-06-01
12537.0,2017-06-02
12579.0,2017-06-05
12653.0,2017-06-06
12535.0,2017-06-07
12620.0,2017-06-08
12444.0,2017-06-09
12389.0,2017-06-12
12353.0,2017-06-13
12263.0,2017-06-14
12351.0,2017-06-16
12364.0,2017-06-19
12396.0,2017-06-20
12373.0,2017-06-21
12345.0,2017-06-22
12283.0,2017-06-23
12319.0,2017-06-26
12274.0,2017-06-27
12207.0,2017-06-28
12194.0,2017-06-29
12245.0,2017-06-30
12247.0,2017-07-03
12293.0,2017-07-04
12232.0,2017-07-05
12304.0,2017-07-06
12371.0,2017-07-07
12438.0,2017-07-10
12441.0,2017-07-11
12540.0,2017-07-12
12563.0,2017-07-13
12592.0,2017-07-14
12588.0,2017-07-17
12562.0,2017-07-18
12585.0,2017-07-19
12729.0,2017-07-20
12621.0,2017-07-21
12633.0,2017-07-24
12673.0,2017-07-25
12648.0,2017-07-26
12741.0,2017-07-27
12791.0,2017-07-28
12805.0,2017-07-31
12800.0,2017-08-01
12740.0,2017-08-02
12713.0,2017-08-03
12704.0,2017-08-04
12683.0,2017-08-07
12710.0,2017-08-08
12791.0,2017-08-09
12831.0,2017-08-10
12749.0,2017-08-11
12688.0,2017-08-14
12736.0,2017-08-15
12783.0,2017-08-16
12871.0,2017-08-17
12893.0,2017-08-18
12957.0,2017-08-21
13003.0,2017-08-22
13070.0,2017-08-23
13047.0,2017-08-24
13069.0,2017-08-25
13149.0,2017-08-28
13224.0,2017-08-29
13333.0,2017-08-30
13315.0,2017-08-31
13395.0,2017-09-01
13408.0,2017-09-04
13485.0,2017-09-05
13539.0,2017-09-06
13643.0,2017-09-08
13642.0,2017-09-11
13647.0,2017-09-12
13637.0,2017-09-13
13709.0,2017-09-14
13756.0,2017-09-15
13647.0,2017-09-18
13618.0,2017-09-19
13656.0,2017-09-20
13726.0,2017-09-21
13693.0,2017-09-22
13698.0,2017-09-25
13714.0,2017-09-26
13779.0,2017-09-27
13655.0,2017-09-28
13724.0,2017-09-29
13665.0,2017-10-02
13712.0,2017-10-03
13773.0,2017-10-04
13804.0,2017-10-05
13946.0,2017-10-06
14038.0,2017-10-09
14068.0,2017-10-10
14001.0,2017-10-11
14072.0,2017-10-13
14031.0,2017-10-16
14092.0,2017-10-17
14149.0,2017-10-18
14197.0,2017-10-19
14219.0,2017-10-20
14256.0,2017-10-23
14245.0,2017-10-24
14295.0,2017-10-25
14339.0,2017-10-26
14040.0,2017-10-27
14177.0,2017-10-30
14147.0,2017-10-31
14309.0,2017-11-01
14404.0,2017-11-03
14388.0,2017-11-06
14543.0,2017-11-07
14459.0,2017-11-08
14464.0,2017-11-09
14407.0,2017-11-10
14239.0,2017-11-13
14229.0,2017-11-14
14268.0,2017-11-16
14194.0,2017-11-17
14352.0,2017-11-21
14252.0,2017-11-22
14270.0,2017-11-23
14262.0,2017-11-24
14348.0,2017-11-27
14331.0,2017-11-28
14424.0,2017-11-29
14413.0,2017-11-30
