<BALANCE>,Data
5377.0,2016-01-29
5379.0,2016-02-01
5382.0,2016-02-02
5405.0,2016-02-03
5415.0,2016-02-04
5470.0,2016-02-05
5525.0,2016-02-10
5477.0,2016-02-11
5517.0,2016-02-12
5541.0,2016-02-15
5543.0,2016-02-16
5373.0,2016-02-17
5450.0,2016-02-18
5444.0,2016-02-19
5274.0,2016-02-22
5293.0,2016-02-23
5246.0,2016-02-24
5250.0,2016-02-25
5271.0,2016-02-26
5059.0,2016-02-29
5075.0,2016-03-01
5104.0,2016-03-02
5051.0,2016-03-03
5193.0,2016-03-04
5255.0,2016-03-07
5333.0,2016-03-08
5297.0,2016-03-09
5369.0,2016-03-10
5473.0,2016-03-11
5502.0,2016-03-14
5616.0,2016-03-15
5617.0,2016-03-16
5831.0,2016-03-17
5835.0,2016-03-18
5885.0,2016-03-21
5945.0,2016-03-22
5741.0,2016-03-23
5815.0,2016-03-24
5854.0,2016-03-28
5874.0,2016-03-29
5914.0,2016-03-30
5805.0,2016-03-31
5829.0,2016-04-01
5568.0,2016-04-04
5620.0,2016-04-05
5645.0,2016-04-06
5647.0,2016-04-07
5549.0,2016-04-08
5556.0,2016-04-11
5582.0,2016-04-12
5475.0,2016-04-13
5530.0,2016-04-14
5603.0,2016-04-15
5696.0,2016-04-18
5712.0,2016-04-19
5731.0,2016-04-20
5760.0,2016-04-22
5775.0,2016-04-25
5777.0,2016-04-26
5722.0,2016-04-27
5739.0,2016-04-28
5753.0,2016-04-29
5762.0,2016-05-02
5703.0,2016-05-03
5750.0,2016-05-04
5787.0,2016-05-05
5805.0,2016-05-06
5840.0,2016-05-09
5804.0,2016-05-10
5820.0,2016-05-11
5840.0,2016-05-12
5885.0,2016-05-13
5891.0,2016-05-16
5946.0,2016-05-17
5947.0,2016-05-18
5899.0,2016-05-19
5925.0,2016-05-20
5945.0,2016-05-23
5951.0,2016-05-24
6018.0,2016-05-25
6028.0,2016-05-27
6049.0,2016-05-30
6066.0,2016-05-31
6109.0,2016-06-01
6131.0,2016-06-02
6087.0,2016-06-03
6127.0,2016-06-06
6148.0,2016-06-07
6148.0,2016-06-08
6182.0,2016-06-09
6059.0,2016-06-10
6098.0,2016-06-13
6142.0,2016-06-14
6081.0,2016-06-15
6092.0,2016-06-16
6060.0,2016-06-17
6006.0,2016-06-20
6023.0,2016-06-21
6063.0,2016-06-22
6122.0,2016-06-23
6352.0,2016-06-24
6413.0,2016-06-27
6427.0,2016-06-28
6370.0,2016-06-29
6376.0,2016-06-30
6376.0,2016-07-01
6346.0,2016-07-04
6363.0,2016-07-05
6378.0,2016-07-06
6410.0,2016-07-07
6271.0,2016-07-08
6211.0,2016-07-11
6215.0,2016-07-12
6240.0,2016-07-13
6286.0,2016-07-14
6311.0,2016-07-15
6322.0,2016-07-18
6329.0,2016-07-19
6371.0,2016-07-20
6405.0,2016-07-21
6436.0,2016-07-22
6447.0,2016-07-25
6479.0,2016-07-26
6495.0,2016-07-27
6412.0,2016-07-28
6426.0,2016-07-29
6426.0,2016-08-01
6453.0,2016-08-02
6469.0,2016-08-03
6509.0,2016-08-04
6534.0,2016-08-05
6550.0,2016-08-08
6511.0,2016-08-09
6512.0,2016-08-10
6522.0,2016-08-11
6555.0,2016-08-12
6565.0,2016-08-15
6581.0,2016-08-16
6615.0,2016-08-17
6616.0,2016-08-18
6654.0,2016-08-19
6447.0,2016-08-22
6452.0,2016-08-23
6463.0,2016-08-24
6501.0,2016-08-25
6504.0,2016-08-26
6493.0,2016-08-29
6504.0,2016-08-30
6547.0,2016-08-31
6560.0,2016-09-01
6582.0,2016-09-02
6575.0,2016-09-05
6590.0,2016-09-06
6592.0,2016-09-08
6331.0,2016-09-09
6422.0,2016-09-12
6161.0,2016-09-13
6197.0,2016-09-14
6214.0,2016-09-15
6163.0,2016-09-16
6146.0,2016-09-19
6162.0,2016-09-20
6188.0,2016-09-21
6127.0,2016-09-22
6140.0,2016-09-23
6163.0,2016-09-26
6178.0,2016-09-27
6160.0,2016-09-28
6200.0,2016-09-29
6223.0,2016-09-30
6224.0,2016-10-03
6225.0,2016-10-04
6063.0,2016-10-05
6093.0,2016-10-06
6120.0,2016-10-07
6079.0,2016-10-10
6080.0,2016-10-11
6127.0,2016-10-13
6072.0,2016-10-14
6081.0,2016-10-17
6090.0,2016-10-18
6105.0,2016-10-19
6107.0,2016-10-20
6124.0,2016-10-21
6157.0,2016-10-24
6195.0,2016-10-25
6193.0,2016-10-26
6207.0,2016-10-27
6221.0,2016-10-28
6188.0,2016-10-31
6225.0,2016-11-01
6265.0,2016-11-03
6300.0,2016-11-04
6120.0,2016-11-07
6149.0,2016-11-08
6292.0,2016-11-09
6364.0,2016-11-10
6493.0,2016-11-11
6499.0,2016-11-14
6629.0,2016-11-16
6646.0,2016-11-17
6731.0,2016-11-18
6722.0,2016-11-21
6643.0,2016-11-22
6683.0,2016-11-23
6722.0,2016-11-24
6809.0,2016-11-25
6806.0,2016-11-28
6703.0,2016-11-29
6694.0,2016-11-30
6570.0,2016-12-01
6573.0,2016-12-02
6603.0,2016-12-05
6760.0,2016-12-06
6843.0,2016-12-07
6887.0,2016-12-08
6863.0,2016-12-09
6931.0,2016-12-12
6986.0,2016-12-13
6985.0,2016-12-14
6973.0,2016-12-15
6961.0,2016-12-16
6991.0,2016-12-19
7018.0,2016-12-20
7024.0,2016-12-21
7028.0,2016-12-22
6966.0,2016-12-23
6915.0,2016-12-26
6909.0,2016-12-27
6941.0,2016-12-28
6941.0,2016-12-29
6914.0,2017-01-02
6653.0,2017-01-03
6714.0,2017-01-04
6726.0,2017-01-05
6750.0,2017-01-06
6763.0,2017-01-09
6718.0,2017-01-10
6761.0,2017-01-11
6699.0,2017-01-12
6731.0,2017-01-13
6730.0,2017-01-16
6739.0,2017-01-17
6776.0,2017-01-18
6821.0,2017-01-19
6848.0,2017-01-20
6868.0,2017-01-23
6901.0,2017-01-24
6970.0,2017-01-26
6989.0,2017-01-27
6728.0,2017-01-30
6729.0,2017-01-31
6662.0,2017-02-01
6672.0,2017-02-02
6696.0,2017-02-03
6706.0,2017-02-06
6669.0,2017-02-07
6690.0,2017-02-08
6734.0,2017-02-09
6611.0,2017-02-10
6602.0,2017-02-13
6613.0,2017-02-14
6624.0,2017-02-15
6630.0,2017-02-16
6632.0,2017-02-17
6635.0,2017-02-20
6624.0,2017-02-21
6635.0,2017-02-22
6606.0,2017-02-23
6648.0,2017-02-24
6712.0,2017-03-01
6681.0,2017-03-02
6684.0,2017-03-03
6693.0,2017-03-06
6700.0,2017-03-07
6736.0,2017-03-08
