<BALANCE>,Data
5258.0,2016-01-29
5258.0,2016-02-01
5350.0,2016-02-02
5350.0,2016-02-03
5289.0,2016-02-04
5289.0,2016-02-05
5228.0,2016-02-10
5228.0,2016-02-11
5228.0,2016-02-12
5167.0,2016-02-15
5196.0,2016-02-16
5196.0,2016-02-17
5196.0,2016-02-18
5196.0,2016-02-19
5300.0,2016-02-22
5300.0,2016-02-23
5239.0,2016-02-24
5239.0,2016-02-25
5173.0,2016-02-26
5227.0,2016-02-29
5227.0,2016-03-01
5252.0,2016-03-02
5252.0,2016-03-03
5252.0,2016-03-04
5252.0,2016-03-07
5252.0,2016-03-08
5168.0,2016-03-09
5107.0,2016-03-10
5107.0,2016-03-11
5107.0,2016-03-14
5046.0,2016-03-15
5046.0,2016-03-16
4985.0,2016-03-17
4985.0,2016-03-18
4985.0,2016-03-21
4985.0,2016-03-22
5094.0,2016-03-23
5094.0,2016-03-24
5059.0,2016-03-28
4998.0,2016-03-29
4937.0,2016-03-30
5116.0,2016-03-31
5089.0,2016-04-01
5207.0,2016-04-04
5146.0,2016-04-05
5024.0,2016-04-06
5024.0,2016-04-07
5101.0,2016-04-08
5101.0,2016-04-11
5219.0,2016-04-12
5219.0,2016-04-13
5219.0,2016-04-14
5158.0,2016-04-15
5036.0,2016-04-18
5113.0,2016-04-19
5113.0,2016-04-20
5052.0,2016-04-22
5125.0,2016-04-25
5199.0,2016-04-26
5199.0,2016-04-27
5138.0,2016-04-28
5162.0,2016-04-29
5040.0,2016-05-02
5136.0,2016-05-03
5136.0,2016-05-04
5254.0,2016-05-05
5254.0,2016-05-06
5254.0,2016-05-09
5433.0,2016-05-10
5433.0,2016-05-11
5433.0,2016-05-12
5612.0,2016-05-13
5612.0,2016-05-16
5639.0,2016-05-17
5639.0,2016-05-18
5578.0,2016-05-19
5578.0,2016-05-20
5517.0,2016-05-23
5517.0,2016-05-24
5518.0,2016-05-25
5518.0,2016-05-27
5516.0,2016-05-30
5498.0,2016-05-31
5498.0,2016-06-01
5437.0,2016-06-02
5437.0,2016-06-03
5376.0,2016-06-06
5315.0,2016-06-07
5494.0,2016-06-08
5433.0,2016-06-09
5433.0,2016-06-10
5433.0,2016-06-13
5372.0,2016-06-14
5372.0,2016-06-15
5372.0,2016-06-16
5311.0,2016-06-17
5280.0,2016-06-20
5219.0,2016-06-21
5216.0,2016-06-22
5366.0,2016-06-23
5366.0,2016-06-24
5305.0,2016-06-27
5244.0,2016-06-28
5340.0,2016-06-29
5344.0,2016-06-30
5443.0,2016-07-01
5443.0,2016-07-04
5500.0,2016-07-05
5500.0,2016-07-06
5606.0,2016-07-07
5606.0,2016-07-08
5606.0,2016-07-11
5606.0,2016-07-12
5606.0,2016-07-13
5545.0,2016-07-14
5545.0,2016-07-15
5686.0,2016-07-18
5686.0,2016-07-19
5625.0,2016-07-20
5564.0,2016-07-21
5526.0,2016-07-22
5465.0,2016-07-25
5404.0,2016-07-26
5282.0,2016-07-27
5332.0,2016-07-28
5332.0,2016-07-29
5332.0,2016-08-01
5271.0,2016-08-02
5354.0,2016-08-03
5354.0,2016-08-04
5354.0,2016-08-05
5293.0,2016-08-08
5261.0,2016-08-09
5384.0,2016-08-10
5525.0,2016-08-11
5525.0,2016-08-12
5571.0,2016-08-15
5571.0,2016-08-16
5595.0,2016-08-17
5595.0,2016-08-18
5595.0,2016-08-19
5774.0,2016-08-22
5774.0,2016-08-23
5713.0,2016-08-24
5713.0,2016-08-25
5595.0,2016-08-26
5659.0,2016-08-29
5659.0,2016-08-30
5659.0,2016-08-31
5659.0,2016-09-01
5792.0,2016-09-02
5792.0,2016-09-05
5792.0,2016-09-06
5832.0,2016-09-08
5832.0,2016-09-09
5832.0,2016-09-12
6011.0,2016-09-13
6011.0,2016-09-14
6032.0,2016-09-15
5971.0,2016-09-16
5910.0,2016-09-19
5910.0,2016-09-20
5788.0,2016-09-21
5789.0,2016-09-22
5789.0,2016-09-23
5840.0,2016-09-26
5793.0,2016-09-27
5857.0,2016-09-28
5914.0,2016-09-29
5914.0,2016-09-30
5939.0,2016-10-03
5939.0,2016-10-04
6039.0,2016-10-05
6039.0,2016-10-06
5993.0,2016-10-07
5993.0,2016-10-10
6022.0,2016-10-11
6022.0,2016-10-13
6022.0,2016-10-14
6032.0,2016-10-17
6032.0,2016-10-18
6032.0,2016-10-19
5910.0,2016-10-20
5905.0,2016-10-21
5905.0,2016-10-24
5844.0,2016-10-25
5844.0,2016-10-26
5896.0,2016-10-27
5835.0,2016-10-28
5802.0,2016-10-31
5981.0,2016-11-01
6020.0,2016-11-03
6020.0,2016-11-04
6199.0,2016-11-07
6138.0,2016-11-08
6138.0,2016-11-09
6317.0,2016-11-10
6496.0,2016-11-11
6496.0,2016-11-14
6374.0,2016-11-16
6374.0,2016-11-17
6313.0,2016-11-18
6252.0,2016-11-21
6252.0,2016-11-22
6252.0,2016-11-23
6252.0,2016-11-24
6191.0,2016-11-25
6277.0,2016-11-28
6216.0,2016-11-29
6155.0,2016-11-30
6334.0,2016-12-01
6334.0,2016-12-02
6334.0,2016-12-05
6368.0,2016-12-06
6368.0,2016-12-07
6397.0,2016-12-08
6275.0,2016-12-09
6214.0,2016-12-12
6214.0,2016-12-13
6153.0,2016-12-14
6092.0,2016-12-15
6031.0,2016-12-16
6210.0,2016-12-19
6210.0,2016-12-20
6149.0,2016-12-21
6107.0,2016-12-22
6196.0,2016-12-23
6196.0,2016-12-26
6196.0,2016-12-27
6348.0,2016-12-28
6348.0,2016-12-29
6348.0,2017-01-02
6514.0,2017-01-03
6514.0,2017-01-04
6478.0,2017-01-05
6510.0,2017-01-06
6404.0,2017-01-09
6404.0,2017-01-10
6282.0,2017-01-11
6221.0,2017-01-12
6221.0,2017-01-13
6160.0,2017-01-16
6248.0,2017-01-17
6248.0,2017-01-18
6297.0,2017-01-19
6236.0,2017-01-20
6408.0,2017-01-23
6408.0,2017-01-24
6408.0,2017-01-26
6405.0,2017-01-27
6405.0,2017-01-30
6405.0,2017-01-31
6344.0,2017-02-01
6283.0,2017-02-02
6161.0,2017-02-03
6039.0,2017-02-06
6016.0,2017-02-07
5955.0,2017-02-08
5894.0,2017-02-09
6047.0,2017-02-10
6047.0,2017-02-13
6047.0,2017-02-14
6072.0,2017-02-15
6072.0,2017-02-16
6011.0,2017-02-17
6080.0,2017-02-20
6080.0,2017-02-21
6087.0,2017-02-22
6266.0,2017-02-23
6266.0,2017-02-24
6266.0,2017-03-01
6445.0,2017-03-02
6445.0,2017-03-03
6384.0,2017-03-06
6438.0,2017-03-07
6438.0,2017-03-08
6438.0,2017-03-09
6377.0,2017-03-10
6377.0,2017-03-13
6255.0,2017-03-14
6358.0,2017-03-15
6358.0,2017-03-16
6495.0,2017-03-17
6495.0,2017-03-20
6674.0,2017-03-21
6674.0,2017-03-22
6613.0,2017-03-23
6552.0,2017-03-24
6548.0,2017-03-27
6533.0,2017-03-28
6639.0,2017-03-29
6639.0,2017-03-30
6578.0,2017-03-31
6517.0,2017-04-03
6571.0,2017-04-04
6681.0,2017-04-05
6691.0,2017-04-06
6630.0,2017-04-07
6630.0,2017-04-10
6569.0,2017-04-11
6569.0,2017-04-12
6644.0,2017-04-13
6768.0,2017-04-17
6707.0,2017-04-18
6775.0,2017-04-19
6775.0,2017-04-20
6714.0,2017-04-24
6747.0,2017-04-25
6686.0,2017-04-26
6667.0,2017-04-27
6708.0,2017-04-28
6708.0,2017-05-02
6708.0,2017-05-03
6850.0,2017-05-04
6789.0,2017-05-05
6789.0,2017-05-08
6910.0,2017-05-09
6910.0,2017-05-10
6910.0,2017-05-11
6867.0,2017-05-12
6867.0,2017-05-15
6748.0,2017-05-16
6927.0,2017-05-17
6927.0,2017-05-18
6927.0,2017-05-19
6866.0,2017-05-22
6920.0,2017-05-23
6920.0,2017-05-24
6859.0,2017-05-25
6895.0,2017-05-26
6895.0,2017-05-29
6897.0,2017-05-30
7069.0,2017-05-31
7074.0,2017-06-01
7013.0,2017-06-02
6952.0,2017-06-05
6913.0,2017-06-06
6913.0,2017-06-07
6852.0,2017-06-08
