<BALANCE>,Data
4427.0,2016-01-29
4399.0,2016-02-01
4504.0,2016-02-02
4584.0,2016-02-03
4735.0,2016-02-04
4683.0,2016-02-05
4703.0,2016-02-10
4749.0,2016-02-11
4619.0,2016-02-12
4690.0,2016-02-15
4669.0,2016-02-16
4868.0,2016-02-17
4646.0,2016-02-18
4706.0,2016-02-19
4706.0,2016-02-22
4610.0,2016-02-23
4651.0,2016-02-24
4679.0,2016-02-25
4728.0,2016-02-26
4927.0,2016-02-29
4967.0,2016-03-01
4935.0,2016-03-02
4931.0,2016-03-03
4657.0,2016-03-04
4740.0,2016-03-07
4638.0,2016-03-08
4924.0,2016-03-09
5004.0,2016-03-10
5124.0,2016-03-11
5182.0,2016-03-14
5323.0,2016-03-15
5398.0,2016-03-16
5236.0,2016-03-17
5296.0,2016-03-18
5240.0,2016-03-21
4990.0,2016-03-22
5147.0,2016-03-23
5025.0,2016-03-24
4879.0,2016-03-28
5159.0,2016-03-29
5199.0,2016-03-30
5199.0,2016-03-31
5418.0,2016-04-01
5454.0,2016-04-04
5462.0,2016-04-05
5334.0,2016-04-06
5063.0,2016-04-07
5083.0,2016-04-08
5120.0,2016-04-11
5359.0,2016-04-12
5359.0,2016-04-13
5403.0,2016-04-14
5335.0,2016-04-15
5477.0,2016-04-18
5363.0,2016-04-19
5463.0,2016-04-20
5429.0,2016-04-22
5401.0,2016-04-25
5523.0,2016-04-26
5662.0,2016-04-27
5582.0,2016-04-28
5553.0,2016-04-29
5458.0,2016-05-02
5353.0,2016-05-03
5138.0,2016-05-04
5100.0,2016-05-05
5190.0,2016-05-06
5447.0,2016-05-09
5574.0,2016-05-10
5540.0,2016-05-11
5771.0,2016-05-12
5771.0,2016-05-13
5519.0,2016-05-16
5395.0,2016-05-17
5483.0,2016-05-18
5523.0,2016-05-19
5523.0,2016-05-20
5335.0,2016-05-23
5375.0,2016-05-24
5478.0,2016-05-25
5492.0,2016-05-27
5476.0,2016-05-30
5590.0,2016-05-31
5644.0,2016-06-01
5704.0,2016-06-02
5702.0,2016-06-03
5693.0,2016-06-06
5657.0,2016-06-07
5657.0,2016-06-08
5563.0,2016-06-09
5627.0,2016-06-10
5601.0,2016-06-13
5820.0,2016-06-14
6079.0,2016-06-15
6217.0,2016-06-16
6286.0,2016-06-17
6387.0,2016-06-20
6382.0,2016-06-21
6613.0,2016-06-22
6512.0,2016-06-23
6084.0,2016-06-24
5974.0,2016-06-27
6094.0,2016-06-28
6000.0,2016-06-29
6117.0,2016-06-30
6147.0,2016-07-01
6137.0,2016-07-04
6141.0,2016-07-05
6352.0,2016-07-06
6416.0,2016-07-07
6416.0,2016-07-08
6299.0,2016-07-11
6497.0,2016-07-12
6475.0,2016-07-13
6419.0,2016-07-14
6426.0,2016-07-15
6392.0,2016-07-18
6368.0,2016-07-19
6414.0,2016-07-20
6212.0,2016-07-21
6177.0,2016-07-22
6120.0,2016-07-25
5911.0,2016-07-26
6013.0,2016-07-27
6052.0,2016-07-28
6281.0,2016-07-29
6366.0,2016-08-01
6426.0,2016-08-02
6363.0,2016-08-03
6213.0,2016-08-04
6210.0,2016-08-05
6120.0,2016-08-08
6034.0,2016-08-09
6153.0,2016-08-10
6173.0,2016-08-11
5573.0,2016-08-12
5772.0,2016-08-15
5634.0,2016-08-16
5758.0,2016-08-17
5542.0,2016-08-18
5562.0,2016-08-19
5761.0,2016-08-22
5816.0,2016-08-23
5919.0,2016-08-24
5701.0,2016-08-25
5691.0,2016-08-26
5780.0,2016-08-29
5710.0,2016-08-30
5429.0,2016-08-31
5341.0,2016-09-01
5111.0,2016-09-02
4903.0,2016-09-05
5041.0,2016-09-06
4865.0,2016-09-08
4797.0,2016-09-09
4824.0,2016-09-12
5083.0,2016-09-13
5049.0,2016-09-14
5069.0,2016-09-15
5023.0,2016-09-16
4883.0,2016-09-19
4789.0,2016-09-20
4766.0,2016-09-21
4745.0,2016-09-22
4805.0,2016-09-23
4779.0,2016-09-26
